date,facility_id,medication_id,category,regime,demand_units,stock_on_hand,closing_stock,units_received,lead_time_days,procurement_cycle_days,supplier_stockout,expiry_date,seasonal_mult,dow,month,year,unmet_demand_today,stockout_flag,unmet_demand
2022-01-01,F001,M001,Antimalarial,stable,32,945,913,0,22,78,0,2023-12-14,1.1,5,1,2022,0,0,0
2022-01-02,F001,M001,Antimalarial,stable,10,913,903,0,14,84,0,2023-08-30,1.1,6,1,2022,0,0,0
2022-01-03,F001,M001,Antimalarial,stable,48,903,855,0,17,65,0,2023-04-20,1.1,0,1,2022,0,0,0
2022-01-04,F001,M001,Antimalarial,stable,55,855,800,0,26,83,0,2022-06-19,1.1,1,1,2022,0,0,0
2022-01-05,F001,M001,Antimalarial,stable,49,800,751,0,11,78,0,2023-12-13,1.1,2,1,2022,0,0,0
2022-01-06,F001,M001,Antimalarial,surge,84,751,667,0,17,69,0,2023-01-03,1.1,3,1,2022,0,0,0
2022-01-07,F001,M001,Antimalarial,surge,81,667,586,0,17,81,0,2022-09-12,1.1,4,1,2022,0,0,0
2022-01-08,F001,M001,Antimalarial,surge,47,586,539,0,21,67,0,2022-02-12,1.1,5,1,2022,0,0,0
2022-01-09,F001,M001,Antimalarial,surge,31,539,508,0,21,80,0,2023-03-13,1.1,6,1,2022,0,0,0
2022-01-10,F001,M001,Antimalarial,surge,77,508,431,0,20,74,0,2023-07-29,1.1,0,1,2022,0,0,0
2022-01-11,F001,M001,Antimalarial,surge,93,431,338,0,18,71,1,2022-12-12,1.1,1,1,2022,0,0,0
2022-01-12,F001,M001,Antimalarial,surge,81,338,257,0,24,70,1,2022-08-26,1.1,2,1,2022,0,0,0
2022-01-13,F001,M001,Antimalarial,surge,83,257,174,0,18,80,0,2022-11-23,1.1,3,1,2022,0,0,0
2022-01-14,F001,M001,Antimalarial,surge,99,174,75,0,9,66,0,2023-01-02,1.1,4,1,2022,0,0,0
2022-01-15,F001,M001,Antimalarial,surge,41,75,34,0,13,78,0,2022-11-07,1.1,5,1,2022,0,0,0
2022-01-16,F001,M001,Antimalarial,surge,24,34,10,0,16,66,0,2023-12-20,1.1,6,1,2022,0,0,0
2022-01-17,F001,M001,Antimalarial,surge,104,10,0,0,14,86,0,2023-07-02,1.1,0,1,2022,94,1,94
2022-01-18,F001,M001,Antimalarial,stable,48,0,0,0,10,83,0,2022-07-08,1.1,1,1,2022,48,1,48
2022-01-19,F001,M001,Antimalarial,stable,45,0,0,0,12,81,0,2023-07-06,1.1,2,1,2022,45,1,45
2022-01-20,F001,M001,Antimalarial,stable,48,0,0,0,17,77,0,2022-12-07,1.1,3,1,2022,48,1,48
2022-01-21,F001,M001,Antimalarial,stable,46,0,0,0,11,76,0,2023-11-29,1.1,4,1,2022,46,1,46
2022-01-22,F001,M001,Antimalarial,stable,28,0,0,0,17,63,0,2023-01-24,1.1,5,1,2022,28,1,28
2022-01-23,F001,M001,Antimalarial,surge,31,0,2196,2227,17,74,0,2023-03-29,1.1,6,1,2022,0,0,0
2022-01-24,F001,M001,Antimalarial,surge,88,2196,2108,0,15,75,0,2022-03-10,1.1,0,1,2022,0,0,0
2022-01-25,F001,M001,Antimalarial,surge,77,2108,2031,0,12,77,0,2023-05-31,1.1,1,1,2022,0,0,0
2022-01-26,F001,M001,Antimalarial,surge,96,2031,1935,0,12,83,0,2022-03-23,1.1,2,1,2022,0,0,0
2022-01-27,F001,M001,Antimalarial,surge,91,1935,1844,0,24,80,0,2023-12-25,1.1,3,1,2022,0,0,0
2022-01-28,F001,M001,Antimalarial,stable,45,1844,1799,0,13,84,0,2022-03-30,1.1,4,1,2022,0,0,0
2022-01-29,F001,M001,Antimalarial,stable,35,1799,1764,0,23,83,0,2022-10-07,1.1,5,1,2022,0,0,0
2022-01-30,F001,M001,Antimalarial,stable,18,1764,1746,0,14,66,0,2022-08-31,1.1,6,1,2022,0,0,0
2022-01-31,F001,M001,Antimalarial,stable,63,1746,1683,0,11,81,0,2022-07-05,1.1,0,1,2022,0,0,0
2022-02-01,F001,M001,Antimalarial,surge,100,1683,1583,0,13,71,0,2024-01-12,1.2,1,2,2022,0,0,0
2022-02-02,F001,M001,Antimalarial,surge,97,1583,1486,0,9,70,0,2023-06-21,1.2,2,2,2022,0,0,0
2022-02-03,F001,M001,Antimalarial,surge,84,1486,1402,0,21,76,0,2023-09-18,1.2,3,2,2022,0,0,0
2022-02-04,F001,M001,Antimalarial,surge,104,1402,1298,0,12,67,0,2022-12-09,1.2,4,2,2022,0,0,0
